time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451950000	6.62364	20.068	5.17554	3.54895	0.401191	radar	0.552443	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.38409	19.9734	5.17985	3.5637	0.392502	lidar	0.0892795	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.16457	19.8802	5.15012	3.58459	0.40813	radar	2.98375	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.90272	19.7856	5.20608	3.58844	0.379952	lidar	0.258135	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.669	19.6382	5.25926	3.6502	0.54014	radar	1.60383	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.52716	19.5026	5.09019	3.70528	0.590611	lidar	2.03436	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.33376	19.3527	5.04974	3.74274	0.593569	radar	1.764	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.12705	19.2474	5.031	3.75468	0.563831	lidar	2.06311	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.94419	19.1369	4.91383	3.74663	0.417106	radar	4.85126	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.80114	18.9828	4.81417	3.79637	0.474412	lidar	0.593095	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
